epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2255.84,0.35383,0.46966,0.92874,0.84162,0.78097,0.88153,0.80734,0.41317,0.51978,0.46338,0.001189,0.001189,0.001189
91,2366.36,0.48722,0.56469,0.9886,0.89056,0.74656,0.87356,0.7997,0.4093,0.51992,0.45108,0.00109,0.00109,0.00109
92,2425.66,0.45846,0.50084,0.96127,0.91222,0.74761,0.87552,0.80506,0.40432,0.50859,0.45383,0.000991,0.000991,0.000991
93,2452.5,0.45488,0.48926,0.95781,0.87089,0.76642,0.87438,0.80327,0.40015,0.52082,0.44867,0.000892,0.000892,0.000892
94,2480.47,0.45899,0.48154,0.95626,0.85613,0.77654,0.87423,0.80771,0.39242,0.51041,0.44006,0.000793,0.000793,0.000793
95,2509.42,0.44463,0.46781,0.94591,0.87693,0.76492,0.8806,0.81078,0.39044,0.49429,0.43941,0.000694,0.000694,0.000694
96,2528.68,0.43874,0.47231,0.94253,0.82401,0.8284,0.88998,0.82265,0.38972,0.49283,0.44041,0.000595,0.000595,0.000595
97,2548.48,0.44698,0.47383,0.9477,0.84598,0.82159,0.88425,0.81365,0.38563,0.49509,0.43258,0.000496,0.000496,0.000496
98,2567.08,0.43864,0.46336,0.9432,0.89555,0.78008,0.88757,0.81962,0.37729,0.4798,0.42673,0.000397,0.000397,0.000397
99,2585.75,0.43351,0.44908,0.93522,0.87364,0.7749,0.88487,0.81894,0.37753,0.49077,0.42877,0.000298,0.000298,0.000298
100,2604.55,0.42701,0.45243,0.93689,0.87405,0.77966,0.88239,0.81445,0.37887,0.49197,0.42849,0.000199,0.000199,0.000199
